Brand,Price,Ton,BEE_rating,Avg_Rating,Reviews,Rated_reviews,Type,Inverter,Convertible,Condenser Coil,Power Consumption,Noise level,Refrigerant,Ambient Temperature,WiFi Enabled,Warranty
Lg,44990,2,5,4.2,59,7,Window,Yes,No,Copper,1370,44,Not Available,Not Available,No,"1 Year (Comprehensive), 10 Years (Compressor with Gas Charging)"
Carrier,51999,2,3,4.2,663,69,Split,Yes,Yes,Copper,2010,39,R32,52,No,"1 Year warranty on Product, 5 (1+4) Years on PCB and 10 (1+9) Years on Compressor"
Blue Star,28999,1.5,3,4,104,9,Window,No,No,Copper,1207,55,Not Available,Not Available,No,1 Year on Product and 5 Years on Compressor
Lloyd,28999,0.8,3,4.1,250,29,Split,Yes,No,Copper,585,32,R32,52,No,1 Year Comprehensive Warranty on Product and 10 Years on Compressor
Ifb,46490,2,3,4.4,327,44,Split,Yes,No,Copper,6500,39,R32,Not Available,No,"1 Year Warranty on Product, 4 Year Super Warranty, 5 Years on ODU PCB and 10 Years on Compressor from IFB"
Voltas,72990,2,3,Not Available,Not Available,Not Available,Split,Yes,No,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available
Godrej,33990,1,5,4.1,188,19,Split,Yes,No,Copper,584,40,R290,52,No,1 Year Warranty on Product and 10 Years on Compressor
Hitachi,35999,1.5,3,3.9,459,47,Split,No,No,Copper,1495,39,R32,52,No,1 Year Warranty on Complete Product and 5 Years on Compressor
Voltas,33999,1.5,3,4.2,"13,218","1,282",Split,No,No,Copper,1450,47,R32,Not Available,No,1 Year on Product and 5 Years on Compressor
Carrier,27999,1,3,4.2,767,76,Window,No,No,Copper,1110,52,R32,50,No,1 Year Warranty on Product and 5 Years on Compressor
Hitachi,35999,1.5,3,3.9,459,47,Split,No,No,Copper,1495,39,R32,52,No,1 Year Warranty on Complete Product and 5 Years on Compressor
Godrej,33990,1,5,4.1,188,19,Split,Yes,No,Copper,584,40,R290,52,No,1 Year Warranty on Product and 10 Years on Compressor
Voltas,33999,1.5,3,4.2,"13,218","1,282",Split,No,No,Copper,1450,47,R32,Not Available,No,1 Year on Product and 5 Years on Compressor
Ifb,35999,1.5,3,4.3,"1,893",291,Split,Yes,No,Copper,1088,35,R32,58,No,Not Available
Realme Techlife,33999,1.5,5,4,"1,154",200,Split,Yes,Yes,Copper,837,43,R32,55,No,1 Year Warranty on Product and 10 Years on Compressor
Lloyd,32999,1,3,4,508,71,Split,Yes,No,Copper,698,32,R32,52,Yes,1 Year Comprehensive Warranty on Product and 10 Years on Compressor
Croma,24990,1,3,4,69,13,Split,No,No,Copper,970,52,R32,Not Available,No,1 Year on Machine 5 Years on Compressor From Croma
Voltas,43999,2,3,4.2,"13,218","1,282",Split,No,No,Copper,1937,44,R32,Not Available,No,1 Year on Product and 5 Years on Compressor from Voltas
Blue Star,30490,1,3,4,5,0,Split,No,No,Copper,940,50,R32,Not Available,No,1 Year on Product and 5 Years Warranty on Compressor
Panasonic,34999,1.5,3,4.2,"1,089",145,Split,Yes,No,Copper,1056,48,R32,Not Available,No,"1 Year Comprehensive on Warranty Product, 4 Years on PCB and 9 Years On Compressor"
